date,storage,inflow,outflow,evaporation,elevation,,,,,,,
9/24/65,NA,1891.562,2095.443,NA,NA,,,,,,,
9/25/65,NA,1820.77,1783.958,NA,NA,,,,,,,
9/26/65,NA,1715.998,1713.166,NA,NA,,,,,,,
9/27/65,NA,1959.523,1854.75,NA,NA,,,,,,,
9/28/65,NA,1866.077,1911.384,NA,NA,,,,,,,
9/29/65,NA,1871.74,1996.334,NA,NA,,,,,,,
9/30/65,NA,1764.137,1897.226,NA,NA,,,,,,,
10/1/65,NA,1656.533,1727.325,NA,NA,,,,,,,
10/2/65,NA,1764.137,1642.374,NA,NA,,,,,,,
10/3/65,NA,1837.76,1642.374,NA,NA,,,,,,,
10/4/65,NA,1851.919,1812.275,NA,NA,,,,,,,
10/5/65,NA,1911.384,1840.592,NA,NA,,,,,,,
10/6/65,NA,1922.711,1755.642,NA,NA,,,,,,,
10/7/65,NA,2075.621,1755.642,NA,NA,,,,,,,
10/8/65,NA,1837.76,1925.542,NA,NA,,,,,,,
10/9/65,NA,1667.86,1783.958,NA,NA,,,,,,,
10/10/65,NA,1577.246,1670.691,NA,NA,,,,,,,
10/11/65,NA,1727.325,1840.592,NA,NA,,,,,,,
10/12/65,NA,1985.008,1699.008,NA,NA,,,,,,,
10/13/65,NA,1999.166,1812.275,NA,NA,,,,,,,
10/14/65,NA,1662.196,1897.226,NA,NA,,,,,,,
10/15/65,NA,1724.493,1812.275,NA,NA,,,,,,,
10/16/65,NA,1871.74,1783.958,NA,NA,,,,,,,
10/17/65,NA,1786.79,1806.612,NA,NA,,,,,,,
10/18/65,NA,1868.909,2035.978,NA,NA,,,,,,,
10/19/65,NA,1837.76,1829.265,NA,NA,,,,,,,
10/20/65,NA,1718.83,1781.127,NA,NA,,,,,,,
10/21/65,NA,1699.008,1812.275,NA,NA,,,,,,,
10/22/65,NA,1591.404,1800.948,NA,NA,,,,,,,
10/23/65,NA,1642.374,1665.028,NA,NA,,,,,,,
10/24/65,NA,1526.276,1588.572,NA,NA,,,,,,,
10/25/65,NA,1645.206,1769.8,NA,NA,,,,,,,
10/26/65,NA,1684.85,1656.533,NA,NA,,,,,,,
10/27/65,NA,1574.414,1744.315,NA,NA,,,,,,,
10/28/65,NA,1752.81,1690.513,NA,NA,,,,,,,
10/29/65,NA,1874.572,1744.315,NA,NA,,,,,,,
10/30/65,NA,1829.265,1724.493,NA,NA,,,,,,,
10/31/65,NA,1888.731,1699.008,NA,NA,,,,,,,
11/1/65,NA,1987.839,1832.097,NA,NA,,,,,,,
11/2/65,NA,1860.414,1687.681,NA,NA,,,,,,,
11/3/65,NA,1693.345,1713.166,NA,NA,,,,,,,
11/4/65,NA,1701.84,1758.473,NA,NA,,,,,,,
11/5/65,NA,1800.948,1789.622,NA,NA,,,,,,,
11/6/65,NA,1840.592,1764.137,NA,NA,,,,,,,
11/7/65,NA,1752.81,1699.008,NA,NA,,,,,,,
11/8/65,NA,1673.523,1885.899,NA,NA,,,,,,,
11/9/65,NA,1713.166,1891.562,NA,NA,,,,,,,
11/10/65,NA,1656.533,1789.622,NA,NA,,,,,,,
11/11/65,NA,1730.156,1795.285,NA,NA,,,,,,,
11/12/65,NA,1715.998,1832.097,NA,NA,,,,,,,
11/13/65,NA,1755.642,1645.206,NA,NA,,,,,,,
11/14/65,NA,1517.78,1648.038,NA,NA,,,,,,,
